State,Year,SET,Total,Percentage,Red,Abbr,Humanities,Social,Sciences,Engineering,Education,Business,Other
Alabama,2000,5728,21253,0.2695,56.48,AL,1939,2219,1346,2012,3128,5583,5066
Alaska,2000,418,1364,0.3065,58.62,AK,198,185,121,102,193,284,281
Arizona,2000,5572,25483,0.2187,50.95,AZ,2710,2400,1181,2002,2423,5586,4563
Arkansas,2000,2465,9405,0.2621,51.31,AR,963,1096,648,653,1533,2120,2392
California,2000,47722,118373,0.4031,41.65,CA,28967,25046,10912,10431,3893,23203,19094
Colorado,2000,9082,21818,0.4163,50.75,CO,3614,4210,2040,2101,120,5115,4342
Connecticut,2000,5312,15072,0.3524,38.44,CT,3367,3588,1122,763,522,2355,3355
Delaware,2000,1569,4616,0.3399,41.9,DE,414,945,265,309,508,1087,1137
Florida,2000,14648,51257,0.2858,48.85,FL,5882,6916,2623,4592,5527,13075,12718
Georgia,2000,9545,29219,0.3267,54.67,GA,3933,4113,2114,3192,3799,6820,5248
Hawaii,2000,1695,4993,0.3395,37.46,HI,743,880,387,326,324,1528,903
Idaho,2000,1523,4711,0.3233,67.17,ID,572,557,446,412,790,740,1194
Illinois,2000,17107,55137,0.3103,42.58,IL,10302,7805,3992,5238,6263,10960,10476
Indiana,2000,9923,31970,0.3104,56.65,IN,4590,3871,2029,3601,4164,6933,6782
Iowa,2000,5679,18750,0.3029,48.22,IA,2887,2574,1379,1539,2348,4126,3897
Kansas,2000,4461,14681,0.3039,58.04,KS,1832,1817,1014,1325,1676,3126,3444
Kentucky,2000,4495,15643,0.2873,56.5,KY,2017,2161,1188,1062,1963,3093,4159
Louisiana,2000,5867,19693,0.2979,52.55,LA,2821,2463,1646,1699,2421,3934,4860
Maine,2000,2187,5672,0.3856,43.97,ME,1160,1076,510,338,601,631,1356
Maryland,2000,8688,22089,0.3933,40.18,MD,5184,4159,1848,1943,1344,2919,3739
Massachusetts,2000,16421,42308,0.3881,32.5,MA,7499,9450,3501,3778,1944,7601,8535
Michigan,2000,14498,45417,0.3192,46.14,MI,5945,5771,3037,5477,4090,10879,10555
Minnesota,2000,7599,23129,0.3285,45.5,MN,4194,3573,2160,1760,2970,4194,4324
Mississippi,2000,2967,10988,0.27,57.62,MS,1069,1173,897,836,1707,2453,2853
Missouri,2000,8630,30017,0.2875,50.42,MO,3831,3727,1914,2669,3312,7736,6846
Montana,2000,1829,5071,0.3607,58.44,MT,844,659,483,549,705,818,1113
Nebraska,2000,2781,10747,0.2588,62.25,NE,962,1161,829,641,1436,2787,2931
Nevada,2000,1050,4070,0.258,49.52,NV,392,543,238,248,689,1217,918
New Hampshire,2000,2875,7776,0.3697,48.07,NH,1348,1623,633,512,533,1651,1476
New Jersey,2000,10974,26939,0.4074,40.29,NJ,4285,6097,2450,2575,2187,4565,4780
New Mexico,2000,2022,6221,0.325,47.85,NM,1015,764,509,717,1048,1376,1298
New York,2000,33013,95591,0.3454,35.22,NY,19131,18668,6382,8100,8012,16429,17695
North Carolina,2000,12456,35257,0.3533,56.03,NC,4276,6238,3164,2766,2876,7287,8650
North Dakota,2000,1358,4877,0.2784,60.66,ND,347,426,297,530,719,915,1643
Ohio,2000,14447,49979,0.2891,49.97,OH,7822,6728,3332,4445,6087,10199,11236
Oklahoma,2000,4238,15578,0.2721,60.31,OK,1947,1647,987,1390,2071,3905,3631
Oregon,2000,5593,14428,0.3876,46.52,OR,3180,3172,1060,1043,686,2499,2788
Pennsylvania,2000,21766,66322,0.3282,46.43,PA,9506,10364,5390,5929,7411,14130,13543
Rhode Island,2000,2606,8594,0.3032,31.91,RI,1274,1319,567,633,654,2196,1759
South Carolina,2000,5086,15897,0.3199,56.83,SC,2252,2651,1626,986,1729,3853,2936
South Dakota,2000,1627,4760,0.3418,60.3,SD,324,570,352,518,695,800,1235
Tennessee,2000,6835,22958,0.2977,51.15,TN,4711,3531,1610,1685,1407,4861,5153
Texas,2000,21702,75834,0.2862,59.3,TX,15672,9969,5920,6052,2917,18065,17239
Utah,2000,5436,16797,0.3236,66.83,UT,3008,2617,1201,1610,1875,2947,3800
Vermont,2000,1848,4832,0.3825,40.7,VT,1310,1091,335,164,281,629,1022
Virginia,2000,12636,32863,0.3845,52.47,VA,6642,7147,2824,3381,872,6777,5956
Washington,2000,8128,23960,0.3392,44.56,WA,5674,4288,1975,1705,1742,4313,4305
West Virginia,2000,2337,8545,0.2735,51.92,WV,1472,1108,537,649,959,1583,2237
Wisconsin,2000,9054,27542,0.3287,47.61,WI,3282,4139,2102,2352,2589,6123,6956
Wyoming,2000,685,1797,0.3812,67.76,WY,90,242,165,200,318,255,527
Alabama,2004,5474,21338,0.2565,62.46,AL,2294,2308,1227,1944,2682,6011,4920
Alaska,2004,475,1405,0.3381,61.07,AK,253,228,164,88,39,271,362
Arizona,2004,9028,32037,0.2818,54.87,AZ,3391,2660,1296,3534,2686,7554,5104
Arkansas,2004,2806,10784,0.2602,54.31,AR,1371,1185,788,851,1321,2540,2728
California,2004,56241,138334,0.4066,44.36,CA,34486,29629,10789,14619,2692,28428,21775
Colorado,2004,10202,24787,0.4116,51.69,CO,4840,4600,1883,2692,119,5107,4866
Connecticut,2004,6160,16853,0.3655,43.95,CT,3783,4222,1045,899,602,3018,3074
Delaware,2004,1608,5068,0.3173,45.74,DE,727,948,222,318,560,1265,1061
Florida,2004,19376,63899,0.3032,52.1,FL,7857,9750,2833,6354,4961,17882,14174
Georgia,2004,12730,36158,0.3521,57.93,GA,5108,5114,2137,5332,3269,9534,5668
Hawaii,2004,1800,5371,0.3351,45.26,HI,857,996,324,342,370,1517,1093
Idaho,2004,1701,6042,0.2815,68.38,ID,851,687,439,497,897,1127,1544
Illinois,2004,18809,59544,0.3159,44.48,IL,11321,8347,3755,6858,6334,11879,11043
Indiana,2004,11046,36388,0.3036,59.94,IN,5812,4417,1998,4148,4431,7774,7808
Iowa,2004,6144,20174,0.3046,49.9,IA,2977,2859,1339,1757,2454,4687,4101
Kansas,2004,4991,16507,0.3024,62,KS,2394,1921,1072,1542,1776,3525,3792
Kentucky,2004,4760,17243,0.2761,59.54,KY,2552,2489,1165,1038,2057,3658,4284
Louisiana,2004,6130,21081,0.2908,56.72,LA,3406,2697,1600,1915,1910,5112,4696
Maine,2004,2353,6059,0.3883,44.58,ME,1182,1192,464,434,649,678,1460
Maryland,2004,10838,25008,0.4334,42.93,MD,4479,4958,1767,3286,1319,3974,4216
Massachusetts,2004,17695,45641,0.3877,36.78,MA,9227,10430,3320,4173,1370,8718,8345
Michigan,2004,16694,50701,0.3293,47.81,MI,6605,6779,3152,6465,5278,12360,10527
Minnesota,2004,8878,27303,0.3252,47.61,MN,5344,4484,2165,2069,3120,5113,5029
Mississippi,2004,3046,11663,0.2612,59.44,MS,1209,1432,794,928,1767,2829,2704
Missouri,2004,9997,33968,0.2943,53.3,MO,4496,4374,2147,3459,3330,9019,7181
Montana,2004,1977,5369,0.3682,59.07,MT,757,818,474,600,646,899,1175
Nebraska,2004,2830,11439,0.2474,65.9,NE,1132,1263,682,768,1442,3248,2904
Nevada,2004,1359,4788,0.2838,50.47,NV,547,672,265,444,654,1514,1040
